"filenames","NN_Pred_Median","Lower_Quantile_0.025","Upper_Quantile_0.975"
"SABL_COMBO2022_NIR0022C_PRD_271_102188551_O1",13.0826,11.2514,14.8513
"SABL_COMBO2022_NIR0022C_PRD_272_102188552_O1",5.6496,4.1597,7.5579
"SABL_COMBO2022_NIR0022C_PRD_273_102188553_O1",2.8958,2.4637,3.6036
"SABL_COMBO2022_NIR0022C_PRD_274_102188554_O1",12.9686,11.1282,15.0688
"SABL_COMBO2022_NIR0022C_PRD_275_102188555_O1",18.1757,15.6302,21.3761
"SABL_COMBO2022_NIR0022C_PRD_276_102188556_O1",6.1428,5.0175,7.4925
"SABL_COMBO2022_NIR0022C_PRD_277_102188557_O1",38.2892,33.8177,42.8226
"SABL_COMBO2022_NIR0022C_PRD_278_102188558_O1",34.9233,31.0465,38.5135
"SABL_COMBO2022_NIR0022C_PRD_279_102188559_O1",15.4222,12.3829,17.9332
"SABL_COMBO2022_NIR0022C_PRD_280_102188560_O1",17.0652,14.6076,19.6739
"SABL_COMBO2022_NIR0022C_PRD_281_102155141_O1",1.8084,1.464,2.5701
"SABL_COMBO2022_NIR0022C_PRD_282_102155142_O1",54.2713,47.5808,61.2848
"SABL_COMBO2022_NIR0022C_PRD_283_102155143_O1",45.9671,36.5723,51.6328
"SABL_COMBO2022_NIR0022C_PRD_284_102155144_O1",37.6047,31.456,42.3728
"SABL_COMBO2022_NIR0022C_PRD_285_102155145_O1",2.153,1.7836,2.6968
"SABL_COMBO2022_NIR0022C_PRD_286_102155146_O1",1.2465,0.5877,1.5848
"SABL_COMBO2022_NIR0022C_PRD_288_102155148_O1",0.8229,0.4972,1.043
"SABL_COMBO2022_NIR0022C_PRD_289_102155149_O1",0.7943,0.4184,1.0019
"SABL_COMBO2022_NIR0022C_PRD_290_102155150_O1",0.9636,0.713,1.1527
"SABL_COMBO2022_NIR0022C_PRD_291_102155151_O1",0.6977,0.3692,0.8699
"SABL_COMBO2022_NIR0022C_PRD_292_102155152_O1",0.8288,0.5438,1.0687
"SABL_COMBO2022_NIR0022C_PRD_293_102155153_O1",1.0174,0.779,1.258
"SABL_COMBO2022_NIR0022C_PRD_294_102155154_O1",9.1474,7.6248,10.6764
"SABL_COMBO2022_NIR0022C_PRD_296_102155156_O1",10.4689,7.7129,14.2307
"SABL_COMBO2022_NIR0022C_PRD_297_102155157_O1",6.4672,5.512,7.4911
"SABL_COMBO2022_NIR0022C_PRD_298_102155158_O1",2.1288,1.8208,2.506
